item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at
10CH-16,CAR HAULER,4,10CH,9990,Wood,16.0,7.0,3.0,1.5,23.0,2026-04-17T15:46:34Z
10CH-16BKDT,CAR HAULER,4,10CH,9990,Wood,16.0,7.0,3.0,1.5,20.0,2026-04-17T15:46:34Z
10CH-18,CAR HAULER,3,10CH,9990,Wood,18.0,7.0,3.0,1.5,22.0,2026-04-17T15:46:34Z
10CH-18BK,CAR HAULER,3,10CH,9990,Wood,18.0,7.0,3.0,1.5,22.0,2026-04-17T15:46:34Z
10CH-18BKDT,CAR HAULER,2,10CH,9990,Wood,18.0,7.0,3.0,1.5,22.0,2026-04-17T15:46:34Z
10CH-20,CAR HAULER,3,10CH,9990,Wood,20.0,7.0,3.0,1.5,24.0,2026-04-17T15:46:34Z
10CH-20BK,CAR HAULER,3,10CH,9990,Wood,20.0,7.0,3.0,1.5,24.0,2026-04-17T15:46:34Z
10CH-20BKDT,CAR HAULER,2,10CH,9990,Wood,20.0,7.0,3.0,1.5,24.0,2026-04-17T15:46:34Z
10CH-20BKDT5FUR,CAR HAULER,4,10CH,9990,Wood,20.0,7.0,3.0,1.5,24.0,2026-04-17T15:46:34Z
10DM-18,CAR HAULER,3,10DM,9990,Steel,18.0,7.0,4.0,1.5,22.0,2026-04-17T15:46:34Z
10DM-18BK,CAR HAULER,3,10DM,9990,Steel,18.0,7.0,4.0,1.5,22.0,2026-04-17T15:46:34Z
10DM-20,CAR HAULER,3,10DM,9990,Steel,20.0,7.0,4.0,1.5,24.0,2026-04-17T15:46:34Z
10DM-20BK,CAR HAULER,2,10DM,9990,Steel,20.0,7.0,4.0,1.5,24.0,2026-04-17T15:46:34Z
10DM-22,CAR HAULER,4,10DM,9990,Steel,22.0,7.0,4.0,1.5,26.0,2026-04-17T15:46:34Z
10DM-22BK,CAR HAULER,4,10DM,9990,Steel,22.0,7.0,4.0,1.5,26.0,2026-04-17T15:46:34Z
10LR-18,VANGUARD/LANDSCAPE,4,10LR,9990,Wood,18.0,7.0,3.0,3.5,21.0,2026-04-17T15:46:34Z
10LR-18BK,VANGUARD/LANDSCAPE,4,10LR,9990,Wood,18.0,7.0,3.0,3.5,21.0,2026-04-17T15:46:34Z
10LR-18BK-P4,VANGUARD/LANDSCAPE,4,10LR,9990,Wood,18.0,7.0,3.0,5.0,21.0,2026-04-17T15:46:34Z
10LR-20,VANGUARD/LANDSCAPE,4,10LR,9990,Wood,20.0,7.0,3.0,3.5,23.0,2026-04-17T15:46:34Z
10LR-20BK,VANGUARD/LANDSCAPE,4,10LR,9990,Wood,20.0,7.0,3.0,3.5,23.0,2026-04-17T15:46:34Z
10LR-20BK-P4,VANGUARD/LANDSCAPE,4,10LR,9990,Wood,20.0,7.0,3.0,5.0,23.0,2026-04-17T15:46:34Z
10LX-10,DUMP,4,10LX,9990,Steel,10.0,7.0,4.0,4.0,14.0,2026-04-17T15:46:34Z
10LX-12,DUMP,4,10LX,9990,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
10LX-12BK6SIR,DUMP,4,10LX,9990,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
10PI-12,TANDEM AXLE,4,10PI,9990,Wood,12.0,7.0,3.0,2.5,15.0,2026-04-17T15:46:34Z
10PI-14,TANDEM AXLE,4,10PI,9990,Wood,14.0,7.0,3.0,2.5,17.0,2026-04-17T15:46:34Z
10PI-16,TANDEM AXLE,3,10PI,9990,Wood,16.0,7.0,3.0,2.5,19.0,2026-04-17T15:46:34Z
10PI-16BK,TANDEM AXLE,3,10PI,9990,Wood,16.0,7.0,3.0,2.5,19.0,2026-04-17T15:46:34Z
10PI-16BK4HDIR,TANDEM AXLE,3,10PI,9990,Wood,16.0,7.0,3.0,2.5,19.0,2026-04-17T15:46:34Z
10PI-16BK5FUR,TANDEM AXLE,3,10PI,9990,Wood,16.0,7.0,3.0,2.5,19.0,2026-04-17T15:46:34Z
10PI-18,TANDEM AXLE,3,10PI,9990,Wood,18.0,7.0,3.0,2.5,21.0,2026-04-17T15:46:34Z
10PI-18BK,TANDEM AXLE,2,10PI,9990,Wood,18.0,7.0,3.0,2.5,21.0,2026-04-17T15:46:34Z
10PI-18BK4HDIR,TANDEM AXLE,3,10PI,9990,Wood,18.0,7.0,3.0,2.5,21.0,2026-04-17T15:46:34Z
10PI-18BK5FUR,TANDEM AXLE,3,10PI,9990,Wood,18.0,7.0,3.0,2.5,21.0,2026-04-17T15:46:34Z
10PI-20,TANDEM AXLE,3,10PI,9990,Wood,20.0,7.0,3.0,2.5,23.0,2026-04-17T15:46:34Z
10PI-20BK,TANDEM AXLE,2,10PI,9990,Wood,20.0,7.0,3.0,2.5,23.0,2026-04-17T15:46:34Z
10PI-20BK4HDIR,TANDEM AXLE,3,10PI,9990,Wood,20.0,7.0,3.0,2.5,23.0,2026-04-17T15:46:34Z
10PI-20BK5FUR,TANDEM AXLE,3,10PI,9990,Wood,20.0,7.0,3.0,2.5,23.0,2026-04-17T15:46:34Z
10PI-24,TANDEM AXLE,4,10PI,9990,Wood,24.0,7.0,3.0,2.5,27.0,2026-04-17T15:46:34Z
10SR-12XL,DUMP,4,10SR,9990,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
10SR-12XLBK6SIR,DUMP,3,10SR,9990,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
10TV-16,VANGUARD/LANDSCAPE,4,10TV,9990,Wood,16.0,7.0,3.0,3.5,19.0,2026-04-17T15:46:34Z
10TV-16BK,VANGUARD/LANDSCAPE,4,10TV,9990,Wood,16.0,7.0,3.0,3.5,19.0,2026-04-17T15:46:34Z
10TV-18,VANGUARD/LANDSCAPE,3,10TV,9990,Wood,18.0,7.0,3.0,3.5,21.0,2026-04-17T15:46:34Z
10TV-18BK,VANGUARD/LANDSCAPE,3,10TV,9990,Wood,18.0,7.0,3.0,3.5,21.0,2026-04-17T15:46:34Z
10TV-20,VANGUARD/LANDSCAPE,3,10TV,9990,Wood,20.0,7.0,3.0,3.5,23.0,2026-04-17T15:46:34Z
10TV-20BK,VANGUARD/LANDSCAPE,3,10TV,9990,Wood,20.0,7.0,3.0,3.5,23.0,2026-04-17T15:46:34Z
12SR-12XL,DUMP,4,12SR,12000,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
12SR-12XLBK6SIR,DUMP,3,12SR,12000,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
13BN,DUMP,1,13BN,14000,Steel,14.0,7.0,0.0,3.0,14.0,2026-04-17T15:46:34Z
14EB-18D2A-KRBK,EQUIPMENT HAULER,2,14EB,14000,Wood,18.0,7.0,4.0,2.0,22.0,2026-04-17T15:46:34Z
14EB-20D2A-KRBK,EQUIPMENT HAULER,1,14EB,14000,Wood,20.0,7.0,4.0,2.0,24.0,2026-04-17T15:46:34Z
14EB-22D2A-KRBK,EQUIPMENT HAULER,1,14EB,14000,Wood,22.0,7.0,4.0,2.0,26.0,2026-04-17T15:46:34Z
14EH-16D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,16.0,7.0,6.0,2.0,22.0,2026-04-17T15:46:34Z
14EH-16D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,16.0,7.0,6.0,2.0,22.0,2026-04-17T15:46:34Z
14EH-16D3A-MRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,16.0,7.0,6.0,2.0,22.0,2026-04-17T15:46:34Z
14EH-18D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,18.0,7.0,6.0,2.0,24.0,2026-04-17T15:46:34Z
14EH-18D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,18.0,7.0,6.0,2.0,24.0,2026-04-17T15:46:34Z
14EH-18D3A-MRBK,EQUIPMENT HAULER,1,14EH,15400,Wood,18.0,7.0,6.0,2.0,24.0,2026-04-17T15:46:34Z
14EH-20D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,20.0,7.0,6.0,2.0,26.0,2026-04-17T15:46:34Z
14EH-20D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,20.0,7.0,6.0,2.0,26.0,2026-04-17T15:46:34Z
14EH-20D3A-MRBK,EQUIPMENT HAULER,1,14EH,15400,Wood,20.0,7.0,6.0,2.0,26.0,2026-04-17T15:46:34Z
14EH-22D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,22.0,7.0,6.0,2.0,28.0,2026-04-17T15:46:34Z
14EH-22D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,22.0,7.0,6.0,2.0,28.0,2026-04-17T15:46:34Z
14EH-22D3A-MRBK,EQUIPMENT HAULER,1,14EH,15400,Wood,22.0,7.0,6.0,2.0,28.0,2026-04-17T15:46:34Z
14EH-24D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,24.0,7.0,6.0,2.0,30.0,2026-04-17T15:46:34Z
14EH-24D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,24.0,7.0,6.0,2.0,30.0,2026-04-17T15:46:34Z
14EH-24D3A-MRBK,EQUIPMENT HAULER,2,14EH,15400,Wood,24.0,7.0,6.0,2.0,30.0,2026-04-17T15:46:34Z
14EHG-20D3A,EQUIPMENT HAULER,3,14EHG,15900,Wood,20.0,7.0,9.0,2.5,29.0,2026-04-17T15:46:34Z
14EHG-22D3A,EQUIPMENT HAULER,3,14EHG,15900,Wood,22.0,7.0,9.0,2.5,31.0,2026-04-17T15:46:34Z
14EHG-24D3A,EQUIPMENT HAULER,3,14EHG,15900,Wood,24.0,7.0,9.0,2.5,33.0,2026-04-17T15:46:34Z
14ET-16,EQUIPMENT HAULER,4,14ET,14000,Wood,16.0,7.0,4.0,2.0,20.0,2026-04-17T15:46:34Z
14ET-16BK,EQUIPMENT HAULER,4,14ET,14000,Wood,16.0,7.0,4.0,2.0,20.0,2026-04-17T15:46:34Z
14ET-16BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,16.0,7.0,4.0,2.0,20.0,2026-04-17T15:46:34Z
14ET-16BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,16.0,7.0,4.0,2.0,20.0,2026-04-17T15:46:34Z
14ET-16KR,EQUIPMENT HAULER,4,14ET,14000,Wood,16.0,7.0,4.0,2.0,20.0,2026-04-17T15:46:34Z
14ET-18,EQUIPMENT HAULER,4,14ET,14000,Wood,18.0,7.0,4.0,2.0,22.0,2026-04-17T15:46:34Z
14ET-18BK,EQUIPMENT HAULER,4,14ET,14000,Wood,18.0,7.0,4.0,2.0,22.0,2026-04-17T15:46:34Z
14ET-18BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,18.0,7.0,4.0,2.0,22.0,2026-04-17T15:46:34Z
14ET-18BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,18.0,7.0,4.0,2.0,22.0,2026-04-17T15:46:34Z
14ET-18BK5RSR,EQUIPMENT HAULER,4,14ET,14000,Wood,18.0,7.0,4.0,2.0,22.0,2026-04-17T15:46:34Z
14ET-20,EQUIPMENT HAULER,4,14ET,14000,Wood,20.0,7.0,4.0,2.0,24.0,2026-04-17T15:46:34Z
14ET-20BK,EQUIPMENT HAULER,4,14ET,14000,Wood,20.0,7.0,4.0,2.0,24.0,2026-04-17T15:46:34Z
14ET-20BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,20.0,7.0,4.0,2.0,24.0,2026-04-17T15:46:34Z
14ET-20BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,20.0,7.0,4.0,2.0,24.0,2026-04-17T15:46:34Z
14ET-20BK5RSR,EQUIPMENT HAULER,4,14ET,14000,Wood,20.0,7.0,4.0,2.0,24.0,2026-04-17T15:46:34Z
14ET-20MR,EQUIPMENT HAULER,4,14ET,14000,Wood,20.0,7.0,4.0,2.0,24.0,2026-04-17T15:46:34Z
14ET-22,EQUIPMENT HAULER,4,14ET,14000,Wood,22.0,7.0,4.0,2.0,26.0,2026-04-17T15:46:34Z
14ET-22BK,EQUIPMENT HAULER,4,14ET,14000,Wood,22.0,7.0,4.0,2.0,26.0,2026-04-17T15:46:34Z
14ET-22BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,22.0,7.0,4.0,2.0,26.0,2026-04-17T15:46:34Z
14ET-22BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,22.0,7.0,4.0,2.0,26.0,2026-04-17T15:46:34Z
14ET-22KR,EQUIPMENT HAULER,4,14ET,14000,Wood,22.0,7.0,4.0,2.0,26.0,2026-04-17T15:46:34Z
14ET-22MR,EQUIPMENT HAULER,4,14ET,14000,Wood,22.0,7.0,4.0,2.0,26.0,2026-04-17T15:46:34Z
14ET-24,EQUIPMENT HAULER,4,14ET,14000,Wood,24.0,7.0,4.0,2.0,28.0,2026-04-17T15:46:34Z
14ET-24BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,24.0,7.0,4.0,2.0,28.0,2026-04-17T15:46:34Z
14ET-24BK-MR,EQUIPMENT HAULER,4,14ET,14000,Wood,24.0,7.0,4.0,2.0,28.0,2026-04-17T15:46:34Z
14ET-24MR,EQUIPMENT HAULER,4,14ET,14000,Wood,24.0,7.0,4.0,2.0,28.0,2026-04-17T15:46:34Z
14FT-16,TILT DECK,3,14FT,14000,Wood,16.0,7.0,5.0,1.5,21.0,2026-04-17T15:46:34Z
14FT-16BK,TILT DECK,1,14FT,14000,Wood,16.0,7.0,5.0,1.5,21.0,2026-04-17T15:46:34Z
14FT-18,TILT DECK,3,14FT,14000,Wood,18.0,7.0,5.0,1.5,23.0,2026-04-17T15:46:34Z
14FT-18BK,TILT DECK,2,14FT,14000,Wood,18.0,7.0,5.0,1.5,23.0,2026-04-17T15:46:34Z
14FT-20,TILT DECK,3,14FT,14000,Wood,20.0,7.0,5.0,1.5,25.0,2026-04-17T15:46:34Z
14FT-20BK,TILT DECK,1,14FT,14000,Wood,20.0,7.0,5.0,1.5,25.0,2026-04-17T15:46:34Z
14GN-20,FLATBED GOOSENECK,4,14GN,15900,Wood,20.0,8.0,9.0,2.5,29.0,2026-04-17T15:46:34Z
14GN-20+5,FLATBED GOOSENECK,4,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-20+5CO,FLATBED GOOSENECK,4,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-20BK+5,FLATBED GOOSENECK,4,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-20BK+5MR,FLATBED GOOSENECK,4,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-20STA,FLATBED GOOSENECK,3,14GN,15900,Wood,20.0,8.0,9.0,2.5,29.0,2026-04-17T15:46:34Z
14GN-22+5,FLATBED GOOSENECK,4,14GN,15900,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
14GN-22STA,FLATBED GOOSENECK,3,14GN,15900,Wood,22.0,8.0,9.0,2.5,31.0,2026-04-17T15:46:34Z
14GN-25,FLATBED GOOSENECK,4,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-25+5,FLATBED GOOSENECK,4,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-25BK+5,FLATBED GOOSENECK,4,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-25BK+5MR,FLATBED GOOSENECK,4,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-25D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-25D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-25D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-25STA,FLATBED GOOSENECK,3,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-27D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
14GN-27D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
14GN-27D5A-MRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
14GN-28+5,FLATBED GOOSENECK,4,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-28BK+5,FLATBED GOOSENECK,4,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-28BK+5MR,FLATBED GOOSENECK,4,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-28STA,FLATBED GOOSENECK,3,14GN,15900,Wood,28.0,8.0,9.0,2.5,37.0,2026-04-17T15:46:34Z
14GN-30,FLATBED GOOSENECK,4,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-30+5,FLATBED GOOSENECK,4,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-30BK+5MR,FLATBED GOOSENECK,4,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-30D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-30D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-30D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-30STA,FLATBED GOOSENECK,3,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-33D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-33D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-33D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-35+5,FLATBED GOOSENECK,4,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-35BK+5MR,FLATBED GOOSENECK,4,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-35D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-35D5A-MRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-35STA,FLATBED GOOSENECK,3,14GN,15900,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
14GN-36,FLATBED GOOSENECK,4,14GN,15900,Wood,36.0,8.0,9.0,2.5,45.0,2026-04-17T15:46:34Z
14GN-40,FLATBED GOOSENECK,4,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-40BK8SIR,FLATBED GOOSENECK,4,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-40D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-40D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-40STA,FLATBED GOOSENECK,3,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-40STA-S8BK,FLATBED GOOSENECK,3,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GT-14,DUMP,3,14GT,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GT-14BK6-P4,DUMP,3,14GT,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GT-14BK6SIR,DUMP,2,14GT,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GT-16,DUMP,3,14GT,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GT-16BK6-P4,DUMP,3,14GT,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GT-16BK6SIR,DUMP,3,14GT,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GX-14,DUMP,3,14GX,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GX-14BK6-P3,DUMP,4,14GX,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GX-14BK6-P4,DUMP,3,14GX,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GX-14BK6SIRPD,DUMP,1,14GX,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GX-16,DUMP,3,14GX,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GX-16BK6-P3,DUMP,4,14GX,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GX-16BK6-P4,DUMP,2,14GX,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GX-16BK6SIRPD,DUMP,1,14GX,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14LP-12,DUMP,3,14LP,14000,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
14LP-12BK6-P3,DUMP,4,14LP,14000,Steel,12.0,7.0,4.0,4.5,16.0,2026-04-17T15:46:34Z
14LP-12BK6-P4,DUMP,3,14LP,14000,Steel,12.0,7.0,4.0,5.0,16.0,2026-04-17T15:46:34Z
14LP-12BK6SIRPD,DUMP,1,14LP,14000,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
14LP-14,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14BK6-12KHJ,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14BK6-12KHJ-P4,DUMP,4,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14BK6-P3,DUMP,4,14LP,14000,Steel,14.0,7.0,4.0,4.5,18.0,2026-04-17T15:46:34Z
14LP-14BK6-P4,DUMP,1,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14BK6SIRPD,DUMP,1,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14BL6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14BL6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14DT6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14DT6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14GY6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14GY6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14SG6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
