item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at
14LP-14SG6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14WH6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14WH6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-16,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16BK6-12KHJ,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16BK6-12KHJ-P4,DUMP,4,14LP,14000,Steel,16.0,7.0,4.0,5.0,20.0,2026-04-17T15:46:34Z
14LP-16BK6-P3,DUMP,4,14LP,14000,Steel,16.0,7.0,4.0,4.5,20.0,2026-04-17T15:46:34Z
14LP-16BK6-P4,DUMP,1,14LP,14000,Steel,16.0,7.0,4.0,5.0,20.0,2026-04-17T15:46:34Z
14LP-16BK6SIRPD,DUMP,1,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16BL6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16DT6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16GY6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16SG6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16WH6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LX-14,DUMP,4,14LX,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LX-14BK7SIRPD,DUMP,4,14LX,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LX-14C2A-BK,DUMP,1,14LX,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LX-14C4A-BK,DUMP,1,14LX,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LX-16BK-P4,DUMP,4,14LX,14000,Steel,16.0,7.0,4.0,5.0,20.0,2026-04-17T15:46:34Z
14OA-16,EQUIPMENT HAULER,4,14OA,15400,Wood,16.0,8.0,6.0,2.5,22.0,2026-04-17T15:46:34Z
14OA-16BK-8SIR,EQUIPMENT HAULER,4,14OA,15400,Wood,16.0,8.0,6.0,2.5,22.0,2026-04-17T15:46:34Z
14OA-16STA,EQUIPMENT HAULER,3,14OA,15400,Wood,16.0,8.0,6.0,2.5,22.0,2026-04-17T15:46:34Z
14OA-16STA-S8BK,EQUIPMENT HAULER,3,14OA,15400,Wood,16.0,8.0,6.0,2.5,22.0,2026-04-17T15:46:34Z
14OA-17+3,EQUIPMENT HAULER,4,14OA,15400,Wood,20.0,8.0,6.0,2.5,26.0,2026-04-17T15:46:34Z
14OA-17BK+3,EQUIPMENT HAULER,4,14OA,15400,Wood,20.0,8.0,6.0,2.5,26.0,2026-04-17T15:46:34Z
14OA-18BK-8SIR,EQUIPMENT HAULER,4,14OA,15400,Wood,18.0,8.0,6.0,2.5,24.0,2026-04-17T15:46:34Z
14OA-18STA-S8BK,EQUIPMENT HAULER,3,14OA,15400,Wood,18.0,8.0,6.0,2.5,24.0,2026-04-17T15:46:34Z
14OA-19+3,EQUIPMENT HAULER,3,14OA,15400,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OA-19BK+3,EQUIPMENT HAULER,4,14OA,15400,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OA-20,EQUIPMENT HAULER,4,14OA,15400,Wood,20.0,8.0,6.0,2.5,26.0,2026-04-17T15:46:34Z
14OA-20BK-8SIR,EQUIPMENT HAULER,4,14OA,15400,Wood,20.0,8.0,6.0,2.5,26.0,2026-04-17T15:46:34Z
14OA-20D3A-FRBK,EQUIPMENT HAULER,3,14OA,15400,Wood,20.0,8.0,6.0,2.5,26.0,2026-04-17T15:46:34Z
14OA-20STA,EQUIPMENT HAULER,3,14OA,15400,Wood,20.0,8.0,6.0,2.5,26.0,2026-04-17T15:46:34Z
14OA-20STA-S8BK,EQUIPMENT HAULER,1,14OA,15400,Wood,20.0,8.0,6.0,2.5,26.0,2026-04-17T15:46:34Z
14OA-21+3,EQUIPMENT HAULER,4,14OA,15400,Wood,24.0,8.0,6.0,2.5,30.0,2026-04-17T15:46:34Z
14OA-21BK+3,EQUIPMENT HAULER,4,14OA,15400,Wood,24.0,8.0,6.0,2.5,30.0,2026-04-17T15:46:34Z
14OA-22,EQUIPMENT HAULER,4,14OA,15400,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OA-22BK-8SIR,EQUIPMENT HAULER,4,14OA,15400,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OA-22D3A-FRBK,EQUIPMENT HAULER,3,14OA,15400,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OA-22STA,EQUIPMENT HAULER,3,14OA,15400,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OA-22STA-S8BK,EQUIPMENT HAULER,3,14OA,15400,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OA-24,EQUIPMENT HAULER,4,14OA,15400,Wood,24.0,8.0,6.0,2.5,30.0,2026-04-17T15:46:34Z
14OA-24BK-8SIR,EQUIPMENT HAULER,4,14OA,15400,Wood,24.0,8.0,6.0,2.5,30.0,2026-04-17T15:46:34Z
14OA-24D3A,EQUIPMENT HAULER,3,14OA,15400,Wood,24.0,8.0,6.0,2.5,30.0,2026-04-17T15:46:34Z
14OA-24D3A-FRBK,EQUIPMENT HAULER,3,14OA,15400,Wood,24.0,8.0,6.0,2.5,30.0,2026-04-17T15:46:34Z
14OA-24STA-S8BK,EQUIPMENT HAULER,3,14OA,15400,Wood,24.0,8.0,6.0,2.5,30.0,2026-04-17T15:46:34Z
14OE-18STA-S8BK,EQUIPMENT HAULER,3,14OE,14000,Wood,18.0,8.0,6.0,2.5,24.0,2026-04-17T15:46:34Z
14OE-20STA-S8BK,EQUIPMENT HAULER,1,14OE,14000,Wood,20.0,8.0,6.0,2.5,26.0,2026-04-17T15:46:34Z
14OE-22STA-S8BK,EQUIPMENT HAULER,3,14OE,14000,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OT-22,TILT DECK,3,14OT,14000,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OT-22BK,TILT DECK,1,14OT,14000,Wood,22.0,8.0,6.0,2.5,28.0,2026-04-17T15:46:34Z
14OT-22GN,TILT DECK,3,14OT,14000,Wood,22.0,8.0,9.0,5.0,31.0,2026-04-17T15:46:34Z
14OT-24,TILT DECK,3,14OT,14000,Wood,24.0,8.0,6.0,2.5,30.0,2026-04-17T15:46:34Z
14OT-24BK,TILT DECK,2,14OT,14000,Wood,24.0,8.0,6.0,2.5,30.0,2026-04-17T15:46:34Z
14OT-24GN,TILT DECK,3,14OT,14000,Wood,24.0,8.0,9.0,5.0,33.0,2026-04-17T15:46:34Z
14OT-26,TILT DECK,3,14OT,14000,Wood,26.0,8.0,6.0,2.5,32.0,2026-04-17T15:46:34Z
14OT-26BK,TILT DECK,2,14OT,14000,Wood,26.0,8.0,9.0,2.5,35.0,2026-04-17T15:46:34Z
14OT-26GN,TILT DECK,3,14OT,14000,Wood,26.0,8.0,6.0,5.0,32.0,2026-04-17T15:46:34Z
14PH-20,"DECK-OVER, TAG-ALONG",3,14PH,15900,Wood,20.0,8.0,6.0,2.5,26.0,2026-04-17T15:46:34Z
14PH-20+5,"DECK-OVER, TAG-ALONG",3,14PH,15900,Wood,25.0,8.0,6.0,2.5,31.0,2026-04-17T15:46:34Z
14PH-20BK+5,"DECK-OVER, TAG-ALONG",3,14PH,15900,Wood,25.0,8.0,6.0,2.5,31.0,2026-04-17T15:46:34Z
14PH-20BK+5MR,"DECK-OVER, TAG-ALONG",2,14PH,15900,Wood,25.0,8.0,6.0,2.5,31.0,2026-04-17T15:46:34Z
14PH-25,"DECK-OVER, TAG-ALONG",4,14PH,15900,Wood,25.0,8.0,6.0,2.5,31.0,2026-04-17T15:46:34Z
14PH-25+5,"DECK-OVER, TAG-ALONG",3,14PH,15900,Wood,30.0,8.0,6.0,2.5,36.0,2026-04-17T15:46:34Z
14PH-25BK+5MR,"DECK-OVER, TAG-ALONG",3,14PH,15900,Wood,30.0,8.0,6.0,2.5,36.0,2026-04-17T15:46:34Z
14PH-30,"DECK-OVER, TAG-ALONG",3,14PH,15900,Wood,30.0,8.0,6.0,2.5,36.0,2026-04-17T15:46:34Z
14PI-16,TANDEM AXLE,3,14PI,14000,Wood,16.0,7.0,3.0,2.5,19.0,2026-04-17T15:46:34Z
14PI-16BK,TANDEM AXLE,2,14PI,14000,Wood,16.0,7.0,3.0,2.5,19.0,2026-04-17T15:46:34Z
14PI-16BK5FUR,TANDEM AXLE,3,14PI,14000,Wood,16.0,7.0,3.0,2.5,19.0,2026-04-17T15:46:34Z
14PI-18,TANDEM AXLE,3,14PI,14000,Wood,18.0,7.0,3.0,2.5,21.0,2026-04-17T15:46:34Z
14PI-18BK,TANDEM AXLE,2,14PI,14000,Wood,18.0,7.0,3.0,2.5,21.0,2026-04-17T15:46:34Z
14PI-18BK5FUR,TANDEM AXLE,3,14PI,14000,Wood,18.0,7.0,3.0,2.5,21.0,2026-04-17T15:46:34Z
14PI-20,TANDEM AXLE,3,14PI,14000,Wood,20.0,7.0,3.0,2.5,23.0,2026-04-17T15:46:34Z
14PI-20BK,TANDEM AXLE,1,14PI,14000,Wood,20.0,7.0,3.0,2.5,23.0,2026-04-17T15:46:34Z
14PI-20BK4HDIR,TANDEM AXLE,3,14PI,14000,Wood,20.0,7.0,3.0,2.5,23.0,2026-04-17T15:46:34Z
14PI-20BK5FUR,TANDEM AXLE,2,14PI,14000,Wood,20.0,7.0,3.0,2.5,23.0,2026-04-17T15:46:34Z
14PI-24,TANDEM AXLE,3,14PI,14000,Wood,24.0,7.0,3.0,2.5,27.0,2026-04-17T15:46:34Z
14RB-14,DUMP,3,14RB,14000,Steel,14.0,7.0,5.0,2.5,19.0,2026-04-17T15:46:34Z
14RB-14BK,DUMP,2,14RB,14000,Steel,14.0,7.0,5.0,2.5,19.0,2026-04-17T15:46:34Z
14RD-14,DUMP,3,14RD,14000,Steel,14.0,7.0,9.0,3.0,23.0,2026-04-17T15:46:34Z
14RD-14BK,DUMP,2,14RD,14000,Steel,14.0,7.0,9.0,3.0,23.0,2026-04-17T15:46:34Z
14TD-14,DUMP,3,14TD,14000,Steel,14.0,7.0,5.0,4.0,19.0,2026-04-17T15:46:34Z
14TD-14BK6-P3,DUMP,4,14TD,14000,Steel,14.0,7.0,5.0,4.5,19.0,2026-04-17T15:46:34Z
14TD-14BK6-P4,DUMP,3,14TD,14000,Steel,14.0,7.0,5.0,5.0,19.0,2026-04-17T15:46:34Z
14TD-14BK6SIR,DUMP,1,14TD,14000,Steel,14.0,7.0,5.0,4.0,19.0,2026-04-17T15:46:34Z
14TD-16,DUMP,3,14TD,14000,Steel,16.0,7.0,5.0,4.0,21.0,2026-04-17T15:46:34Z
14TD-16BK6-P3,DUMP,4,14TD,14000,Steel,16.0,7.0,5.0,4.5,21.0,2026-04-17T15:46:34Z
14TD-16BK6-P4,DUMP,3,14TD,14000,Steel,16.0,7.0,5.0,5.0,21.0,2026-04-17T15:46:34Z
14TD-16BK6SIR,DUMP,2,14TD,14000,Steel,16.0,7.0,5.0,4.0,21.0,2026-04-17T15:46:34Z
14TL-20,TILT DECK,3,14TL,14000,Wood,20.0,7.0,5.0,1.5,25.0,2026-04-17T15:46:34Z
14TL-20BK,TILT DECK,1,14TL,14000,Wood,20.0,7.0,5.0,1.5,25.0,2026-04-17T15:46:34Z
14TL-20GN,TILT DECK,4,14TL,14000,Wood,20.0,7.0,9.0,5.0,29.0,2026-04-17T15:46:34Z
14TL-22,TILT DECK,3,14TL,14000,Wood,22.0,7.0,5.0,1.5,27.0,2026-04-17T15:46:34Z
14TL-22BK,TILT DECK,1,14TL,14000,Wood,22.0,7.0,5.0,1.5,27.0,2026-04-17T15:46:34Z
14TL-22GN,TILT DECK,4,14TL,14000,Wood,22.0,7.0,9.0,5.0,31.0,2026-04-17T15:46:34Z
14XD-14C2A,DUMP,3,14XD,15400,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14XD-14C2A-BK,DUMP,1,14XD,15400,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14XD-14C2A-BK-12KHJ,DUMP,3,14XD,15400,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14XD-14C4A,DUMP,3,14XD,15400,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14XD-14C4A-BK,DUMP,2,14XD,15400,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14XD-16C2A,DUMP,3,14XD,15400,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14XD-16C2A-BK,DUMP,3,14XD,15400,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14XD-16C4A,DUMP,3,14XD,15400,Steel,16.0,7.0,4.0,5.0,20.0,2026-04-17T15:46:34Z
14XD-16C4A-BK,DUMP,3,14XD,15400,Steel,16.0,7.0,4.0,5.0,20.0,2026-04-17T15:46:34Z
16EH-18D3A,EQUIPMENT HAULER,3,16EH,17600,Wood,18.0,7.0,6.0,2.0,24.0,2026-04-17T15:46:34Z
16EH-18D3A-KRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,18.0,7.0,6.0,2.0,24.0,2026-04-17T15:46:34Z
16EH-18D3A-MRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,18.0,7.0,6.0,2.0,24.0,2026-04-17T15:46:34Z
16EH-20D3A,EQUIPMENT HAULER,3,16EH,17600,Wood,20.0,7.0,6.0,2.0,26.0,2026-04-17T15:46:34Z
16EH-20D3A-KRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,20.0,7.0,6.0,2.0,26.0,2026-04-17T15:46:34Z
16EH-20D3A-MRBK,EQUIPMENT HAULER,2,16EH,17600,Wood,20.0,7.0,6.0,2.0,26.0,2026-04-17T15:46:34Z
16EH-22D3A,EQUIPMENT HAULER,3,16EH,17600,Wood,22.0,7.0,6.0,2.0,28.0,2026-04-17T15:46:34Z
16EH-22D3A-KRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,22.0,7.0,6.0,2.0,28.0,2026-04-17T15:46:34Z
16EH-22D3A-MRBK,EQUIPMENT HAULER,1,16EH,17600,Wood,22.0,7.0,6.0,2.0,28.0,2026-04-17T15:46:34Z
16EH-24D3A,EQUIPMENT HAULER,3,16EH,17600,Wood,24.0,7.0,6.0,2.0,30.0,2026-04-17T15:46:34Z
16EH-24D3A-KRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,24.0,7.0,6.0,2.0,30.0,2026-04-17T15:46:34Z
16EH-24D3A-MRBK,EQUIPMENT HAULER,3,16EH,17600,Wood,24.0,7.0,6.0,2.0,30.0,2026-04-17T15:46:34Z
16EHG-20D3A,EQUIPMENT HAULER,3,16EHG,19200,Wood,20.0,7.0,9.0,2.5,29.0,2026-04-17T15:46:34Z
16EHG-22D3A,EQUIPMENT HAULER,3,16EHG,19200,Wood,22.0,7.0,9.0,2.5,31.0,2026-04-17T15:46:34Z
16EHG-24D3A,EQUIPMENT HAULER,3,16EHG,19200,Wood,24.0,7.0,9.0,2.5,33.0,2026-04-17T15:46:34Z
16GN-20,FLATBED GOOSENECK,4,16GN,17500,Wood,20.0,8.0,9.0,2.5,29.0,2026-04-17T15:46:34Z
16GN-20+5,FLATBED GOOSENECK,4,16GN,17500,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
16GN-20BK+5MR,FLATBED GOOSENECK,4,16GN,17500,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
16GN-20STA,FLATBED GOOSENECK,3,16GN,17500,Wood,20.0,8.0,9.0,2.5,29.0,2026-04-17T15:46:34Z
16GN-22,FLATBED GOOSENECK,4,16GN,17500,Wood,22.0,8.0,9.0,2.5,31.0,2026-04-17T15:46:34Z
16GN-22+5,FLATBED GOOSENECK,4,16GN,17500,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
16GN-22STA,FLATBED GOOSENECK,3,16GN,17500,Wood,22.0,8.0,9.0,2.5,31.0,2026-04-17T15:46:34Z
16GN-25,FLATBED GOOSENECK,4,16GN,17500,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
16GN-25+5,FLATBED GOOSENECK,4,16GN,17500,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
16GN-25BK+5MR,FLATBED GOOSENECK,4,16GN,17500,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
16GN-25D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
16GN-25D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
16GN-25D5A-MRBK,FLATBED GOOSENECK,2,16GN,17500,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
16GN-25STA,FLATBED GOOSENECK,3,16GN,17500,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
16GN-27D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
16GN-28+5,FLATBED GOOSENECK,4,16GN,17500,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
16GN-28BK+5MR,FLATBED GOOSENECK,4,16GN,17500,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
16GN-28STA,FLATBED GOOSENECK,3,16GN,17500,Wood,28.0,8.0,9.0,2.5,37.0,2026-04-17T15:46:34Z
16GN-30,FLATBED GOOSENECK,4,16GN,17500,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
16GN-30+5,FLATBED GOOSENECK,4,16GN,17500,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
16GN-30BK+5MR,FLATBED GOOSENECK,4,16GN,17500,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
16GN-30D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
16GN-30D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
16GN-30D5A-MRBK,FLATBED GOOSENECK,2,16GN,17500,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
16GN-30STA,FLATBED GOOSENECK,3,16GN,17500,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
16GN-33D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
16GN-33D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
16GN-33D5A-MRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
16GN-35,FLATBED GOOSENECK,4,16GN,17500,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
16GN-35+5,FLATBED GOOSENECK,4,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GN-35BK+5,FLATBED GOOSENECK,4,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GN-35BK+5MR,FLATBED GOOSENECK,4,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GN-35D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
16GN-35D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
16GN-35D5A-MRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
16GN-35STA,FLATBED GOOSENECK,3,16GN,17500,Wood,35.0,8.0,9.0,2.5,44.0,2026-04-17T15:46:34Z
16GN-36,FLATBED GOOSENECK,4,16GN,17500,Wood,36.0,8.0,9.0,2.5,45.0,2026-04-17T15:46:34Z
16GN-40,FLATBED GOOSENECK,4,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GN-40BK8SIR,FLATBED GOOSENECK,4,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GN-40D5A,FLATBED GOOSENECK,3,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GN-40D5A-FRBK,FLATBED GOOSENECK,3,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GN-40D5A-MRBK,FLATBED GOOSENECK,1,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GN-40STA,FLATBED GOOSENECK,3,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GN-40STA-S8BK,FLATBED GOOSENECK,3,16GN,17500,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
16GX-14,DUMP,3,16GX,17500,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
16GX-14BK6-P4,DUMP,3,16GX,17500,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
16GX-14BK6SIRPD,DUMP,3,16GX,17500,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
16GX-16,DUMP,3,16GX,17500,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
16GX-16BK6-P3,DUMP,4,16GX,17500,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
16GX-16BK6-P4,DUMP,3,16GX,17500,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
16GX-16BK6SIRPD,DUMP,3,16GX,17500,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
16LP-14,DUMP,3,16LP,17500,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
16LP-14BK6-12KHJ,DUMP,4,16LP,17500,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
16LP-14BK6-12KHJ-P4,DUMP,4,16LP,17500,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
16LP-14BK6-P3,DUMP,4,16LP,17500,Steel,14.0,7.0,4.0,4.5,18.0,2026-04-17T15:46:34Z
16LP-14BK6-P4,DUMP,3,16LP,17500,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
16LP-14BK6SIRPD,DUMP,2,16LP,17500,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
16LP-16,DUMP,3,16LP,17500,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
16LP-16BK6-12KHJ,DUMP,4,16LP,17500,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
16LP-16BK6-12KHJ-P4,DUMP,4,16LP,17500,Steel,16.0,7.0,4.0,5.0,20.0,2026-04-17T15:46:34Z
16LP-16BK6-P3,DUMP,4,16LP,17500,Steel,16.0,7.0,4.0,4.5,20.0,2026-04-17T15:46:34Z
